customerID,Churn,customer.gender,customer.SeniorCitizen,customer.Partner,customer.Dependents,customer.tenure,phone.PhoneService,phone.MultipleLines,internet.InternetService,internet.OnlineSecurity,internet.OnlineBackup,internet.DeviceProtection,internet.TechSupport,internet.StreamingTV,internet.StreamingMovies,account.Contract,account.PaperlessBilling,account.PaymentMethod,account.Charges.Monthly,account.Charges.Total
0019-efaep,no,female,0,no,no,72,yes,yes,fiber optic,yes,yes,yes,no,yes,no,two year,yes,bank transfer (automatic),101.3,7261.25
0019-gfntw,no,female,0,no,no,56,no,no phone service,dsl,yes,yes,yes,yes,no,no,two year,no,bank transfer (automatic),45.05,2560.1
0020-inwck,no,female,0,yes,yes,71,yes,yes,fiber optic,no,yes,yes,no,no,yes,two year,yes,credit card (automatic),95.75,6849.4
0020-jdnxp,no,female,0,yes,yes,34,no,no phone service,dsl,yes,no,yes,yes,yes,yes,one year,no,mailed check,61.25,1993.2
0021-ikxgc,no,female,1,no,no,1,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,72.1,72.1
0022-tcjci,yes,male,1,no,no,45,yes,no,dsl,yes,no,yes,no,no,yes,one year,no,credit card (automatic),62.7,2791.5
0023-hghwl,yes,male,1,no,no,1,no,no phone service,dsl,no,no,no,no,no,no,month-to-month,yes,electronic check,25.1,25.1
0023-uyupn,no,female,1,yes,no,50,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,electronic check,25.2,1306.3
0023-xuopt,yes,female,0,yes,no,13,yes,yes,fiber optic,no,yes,yes,no,yes,no,month-to-month,no,electronic check,94.1,1215.6
0027-kwykw,no,female,0,yes,yes,23,yes,yes,fiber optic,no,no,no,no,yes,no,month-to-month,yes,electronic check,83.75,1849.95
0030-fnxpp,no,female,0,no,no,3,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,19.85,57.2
0031-pvlzi,yes,female,0,yes,yes,4,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,20.35,76.35
0032-pgels,yes,female,0,yes,yes,1,no,no phone service,dsl,yes,no,no,no,no,no,month-to-month,no,bank transfer (automatic),30.5,30.5
0036-ihmot,no,female,0,yes,yes,55,yes,no,fiber optic,no,yes,yes,yes,yes,yes,one year,yes,bank transfer (automatic),103.7,5656.75
0040-halcw,no,male,0,yes,yes,54,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),20.4,1090.6
0042-jvwoj,no,male,0,no,no,26,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,bank transfer (automatic),19.6,471.85
0042-rlhyp,no,female,0,yes,yes,69,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),19.7,1396.9
0047-zhdtw,,female,0,no,no,11,yes,yes,fiber optic,yes,no,no,no,no,no,month-to-month,yes,bank transfer (automatic),79.0,929.3
0048-lumls,no,male,0,yes,yes,37,yes,no,fiber optic,no,no,no,no,yes,yes,one year,no,credit card (automatic),91.2,3247.55
0048-pihnl,no,female,0,yes,no,49,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,bank transfer (automatic),20.45,900.9
0052-dckon,no,male,0,yes,no,66,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,one year,no,bank transfer (automatic),115.8,7942.15
0052-ynyot,no,female,0,no,no,67,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,electronic check,20.55,1343.4
0056-epfbg,no,male,0,yes,yes,20,no,no phone service,dsl,yes,no,yes,yes,no,no,two year,yes,credit card (automatic),39.4,825.4
0057-qbuqh,no,female,0,no,yes,43,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,electronic check,25.1,1070.15
0058-evzwm,no,female,0,yes,no,55,yes,yes,fiber optic,yes,no,no,no,yes,no,month-to-month,yes,bank transfer (automatic),89.8,4959.6
0060-fualy,no,female,0,yes,no,59,yes,yes,fiber optic,yes,yes,no,no,yes,no,month-to-month,yes,electronic check,94.75,5597.65
0064-sudog,no,female,0,yes,yes,12,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),20.3,224.5
0064-yijgf,no,male,0,yes,yes,27,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,bank transfer (automatic),75.75,1929
0067-dkwbl,yes,male,1,no,no,2,yes,no,dsl,yes,no,no,no,no,no,month-to-month,yes,electronic check,49.25,91.1
0068-figtf,no,female,0,no,no,27,yes,no,dsl,no,yes,yes,yes,yes,yes,one year,no,mailed check,78.2,2078.95
0071-ndafp,no,male,0,yes,yes,25,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),25.5,630.6
0074-hdkdg,no,male,0,yes,yes,25,yes,no,dsl,yes,yes,yes,no,no,no,one year,yes,bank transfer (automatic),61.6,1611
0076-lveps,no,male,0,no,yes,29,no,no phone service,dsl,yes,yes,yes,yes,no,no,month-to-month,yes,mailed check,45.0,1242.45
0078-xzmht,no,male,0,yes,no,72,yes,yes,dsl,no,yes,yes,yes,yes,yes,two year,yes,bank transfer (automatic),85.15,6316.2
0080-emyvy,no,female,0,no,no,14,yes,no,dsl,no,yes,no,no,no,no,one year,no,credit card (automatic),51.45,727.85
0080-orozo,no,female,0,no,no,35,yes,no,fiber optic,no,no,yes,yes,yes,yes,one year,yes,electronic check,99.25,3532
0082-ldzue,no,male,0,no,no,1,yes,no,dsl,no,no,no,no,no,no,month-to-month,yes,mailed check,44.3,44.3
0082-oqiqy,no,male,0,no,no,29,yes,no,fiber optic,no,no,no,yes,yes,yes,month-to-month,yes,electronic check,94.2,2607.6
0083-pivik,no,male,0,no,no,64,yes,yes,dsl,yes,yes,yes,yes,yes,no,one year,no,electronic check,81.25,5567.55
0089-iiqko,no,female,0,yes,yes,39,yes,yes,fiber optic,no,no,no,yes,yes,yes,month-to-month,yes,credit card (automatic),99.95,3767.4
0093-exyql,no,female,1,no,no,40,yes,no,fiber optic,no,no,no,no,yes,yes,month-to-month,yes,electronic check,91.55,3673.6
0093-xwzfy,yes,male,0,no,no,40,yes,yes,fiber optic,no,yes,yes,no,yes,yes,month-to-month,yes,credit card (automatic),104.5,4036.85
0094-oifmo,yes,female,1,no,no,11,yes,no,fiber optic,no,yes,no,no,yes,yes,month-to-month,yes,electronic check,95.0,1120.3
0096-bxers,no,female,0,yes,no,6,yes,yes,dsl,no,no,no,no,no,no,month-to-month,no,electronic check,50.35,314.55
0096-fcpuf,no,male,0,no,no,30,yes,yes,dsl,yes,no,no,no,no,yes,month-to-month,yes,mailed check,64.5,1888.45
0098-bowso,no,male,0,no,no,27,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,electronic check,19.4,529.8
0100-duvfc,no,male,1,yes,no,70,yes,yes,fiber optic,no,yes,yes,no,yes,yes,one year,yes,electronic check,104.8,7308.95
0103-csitq,no,female,0,yes,no,57,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,one year,yes,bank transfer (automatic),109.4,6252.7
0104-ppxdv,no,male,0,yes,no,58,yes,no,dsl,no,no,yes,no,no,no,one year,no,credit card (automatic),50.3,2878.55
0106-ghrqr,no,male,0,no,no,16,yes,yes,dsl,no,yes,yes,no,no,yes,month-to-month,yes,bank transfer (automatic),71.4,1212.1
0106-ugrdo,no,female,0,yes,no,69,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,yes,electronic check,116.0,8182.85
0107-weslm,yes,male,0,no,no,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,electronic check,19.85,19.85
0107-yhina,yes,male,0,no,yes,1,yes,yes,fiber optic,no,no,yes,no,yes,yes,month-to-month,yes,electronic check,99.75,99.75
0111-klbqg,no,male,1,yes,yes,32,yes,no,fiber optic,no,yes,no,no,yes,yes,month-to-month,yes,mailed check,93.95,2861.45
0112-qawrz,no,male,0,yes,yes,16,yes,yes,fiber optic,no,no,yes,no,yes,no,month-to-month,yes,bank transfer (automatic),90.8,1442.2
0112-qwpnc,yes,male,0,yes,no,49,yes,yes,dsl,yes,no,yes,yes,yes,yes,one year,no,electronic check,84.35,4059.35
0114-igabw,no,female,0,yes,no,71,no,no phone service,dsl,no,yes,yes,yes,yes,yes,two year,no,bank transfer (automatic),58.25,4145.9
0114-pegzz,no,female,0,no,no,33,yes,yes,fiber optic,no,yes,yes,no,yes,yes,month-to-month,no,electronic check,107.55,3645.5
0114-rsrrw,no,female,0,yes,no,10,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,bank transfer (automatic),19.95,187.75
0115-tfert,yes,male,0,yes,no,21,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,month-to-month,yes,electronic check,111.2,2317.1
0117-lfrmw,yes,male,0,yes,yes,37,no,no phone service,dsl,yes,yes,yes,no,no,no,month-to-month,no,bank transfer (automatic),40.2,1448.8
0118-jpnoy,no,female,1,no,no,26,yes,no,fiber optic,yes,no,no,no,yes,no,month-to-month,yes,credit card (automatic),85.8,2193.65
0120-yzlqa,,male,0,no,no,71,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,credit card (automatic),19.9,1355.1
0121-snyrk,no,male,0,no,no,50,no,no phone service,dsl,yes,no,no,yes,no,no,one year,yes,mailed check,35.4,1748.9
0122-oahpz,yes,female,0,no,no,7,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,73.85,511.25
0123-crbrt,no,female,0,yes,yes,61,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two year,no,mailed check,88.1,5526.75
0125-lzqxk,yes,male,0,no,no,15,yes,no,fiber optic,no,no,yes,yes,yes,yes,month-to-month,yes,electronic check,101.35,1553.95
0128-mkwsg,no,female,0,no,yes,26,no,no phone service,dsl,yes,no,no,yes,no,yes,month-to-month,no,mailed check,45.8,1147
0129-kptwj,no,male,0,yes,no,72,yes,no,fiber optic,no,no,yes,no,yes,yes,month-to-month,yes,electronic check,94.65,6747.35
0129-qmpdr,no,male,0,yes,yes,44,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,bank transfer (automatic),20.5,865.05
0130-sxoun,no,male,0,no,no,66,yes,yes,fiber optic,no,yes,no,no,no,yes,month-to-month,no,credit card (automatic),89.4,5976.9
0133-bmfzo,yes,female,0,no,no,2,yes,no,fiber optic,yes,yes,no,yes,no,no,month-to-month,yes,electronic check,86.25,181.65
0134-xwxce,no,female,1,no,no,44,yes,no,dsl,no,no,yes,yes,yes,yes,one year,no,bank transfer (automatic),74.85,3268.05
0135-nmxap,yes,female,0,no,no,12,yes,yes,fiber optic,no,yes,no,no,yes,no,month-to-month,yes,bank transfer (automatic),89.75,1052.4
0136-ifmyd,no,male,1,yes,no,69,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,two year,yes,electronic check,109.95,7634.25
0137-ocgab,yes,female,0,no,no,1,yes,yes,fiber optic,no,yes,no,no,no,no,month-to-month,yes,mailed check,80.2,80.2
0137-udeuo,yes,female,0,no,no,3,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,19.85,63.75
0139-ivfjg,no,female,0,yes,no,2,yes,no,fiber optic,yes,yes,no,no,yes,no,month-to-month,no,electronic check,90.35,190.5
0141-yeays,no,female,1,no,no,27,yes,yes,fiber optic,no,yes,yes,no,no,no,month-to-month,yes,bank transfer (automatic),86.45,2401.05
0142-gvysn,no,male,0,no,no,26,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,electronic check,20.3,511.25
0147-eswwr,no,female,1,yes,no,39,yes,yes,fiber optic,no,no,no,yes,yes,yes,month-to-month,yes,electronic check,101.25,3949.15
0148-dcdos,yes,male,0,no,no,25,yes,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,yes,bank transfer (automatic),94.7,2362.1
0151-ontov,yes,female,0,no,no,1,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,no,mailed check,70.9,70.9
0154-qyhju,,male,0,no,no,29,yes,no,dsl,yes,yes,no,yes,no,no,one year,yes,electronic check,58.75,1696.2
0156-fvpta,yes,male,0,yes,no,22,yes,no,dsl,yes,no,no,yes,no,no,month-to-month,yes,electronic check,54.2,1152.7
0162-rzgmz,,female,1,no,no,5,yes,no,dsl,yes,yes,no,yes,no,no,month-to-month,no,credit card (automatic),59.9,287.85
0164-apgrb,no,female,0,no,no,72,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,yes,electronic check,114.9,8496.7
0164-xairp,no,female,0,no,no,24,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,bank transfer (automatic),19.55,470.2
0168-xzkbb,no,female,0,yes,no,19,yes,yes,fiber optic,no,no,no,no,yes,no,month-to-month,yes,electronic check,86.85,1564.4
0174-qrvvy,no,male,0,yes,yes,71,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),25.35,1847.55
0177-pxbat,no,male,1,yes,no,33,yes,yes,fiber optic,yes,no,yes,yes,yes,yes,month-to-month,yes,bank transfer (automatic),109.9,3694.7
0178-ciikr,no,female,0,no,no,3,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,19.95,58
0178-szbho,no,male,0,yes,yes,47,yes,yes,fiber optic,no,yes,no,no,yes,no,month-to-month,no,electronic check,87.2,4017.45
0181-ritdd,no,male,0,yes,yes,62,yes,no,fiber optic,yes,yes,yes,yes,yes,yes,two year,no,mailed check,108.15,6825.65
0186-caerr,no,male,0,no,no,71,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,one year,yes,bank transfer (automatic),116.3,8309.55
0187-qsxoe,no,male,1,yes,no,7,yes,no,fiber optic,no,no,no,no,yes,yes,month-to-month,yes,electronic check,89.0,605.45
0187-wznab,no,female,0,yes,yes,27,yes,no,fiber optic,yes,no,no,no,no,no,month-to-month,no,mailed check,74.4,1972.35
0188-gwfle,no,male,0,no,no,2,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,20.05,33.7
0191-equuh,no,female,0,no,yes,25,no,no phone service,dsl,yes,no,no,yes,no,no,two year,no,bank transfer (automatic),35.05,844.45
0191-zhskz,no,male,1,no,no,30,yes,no,dsl,yes,yes,no,no,yes,yes,month-to-month,yes,electronic check,74.75,2111.3
0193-eszxp,yes,female,1,yes,no,58,yes,no,fiber optic,yes,yes,no,yes,yes,yes,one year,yes,credit card (automatic),105.5,6205.5
0195-iescp,yes,male,0,yes,no,10,yes,yes,fiber optic,no,no,no,no,no,yes,month-to-month,yes,electronic check,85.25,855.3
0196-jtuqi,no,female,0,no,no,9,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,credit card (automatic),75.2,633.85
0196-vulgz,yes,female,1,yes,no,6,yes,yes,fiber optic,no,no,no,no,no,yes,month-to-month,yes,electronic check,84.35,474.9
0197-pnknk,no,female,0,yes,yes,69,yes,yes,fiber optic,yes,no,yes,no,no,no,one year,no,bank transfer (automatic),84.45,5848.6
0201-mibol,no,female,1,no,no,66,yes,yes,fiber optic,yes,no,no,no,yes,yes,two year,yes,bank transfer (automatic),102.4,6471.85
0201-oamxr,yes,female,0,no,no,70,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,one year,no,credit card (automatic),115.55,8127.6
0203-hhyij,yes,male,0,no,no,25,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,bank transfer (automatic),25.3,676.35
0206-oyvoc,no,female,0,yes,yes,46,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,mailed check,19.25,864.2
0206-tbwlc,no,female,0,yes,no,54,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,one year,yes,mailed check,114.65,6049.5
0207-mdknv,yes,female,0,no,no,15,yes,no,fiber optic,yes,no,yes,yes,yes,yes,month-to-month,no,electronic check,105.1,1582.75
0208-bpqej,no,female,0,yes,yes,12,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,bank transfer (automatic),19.4,198.1
0212-isbbf,no,female,0,no,no,22,no,no phone service,dsl,no,yes,no,no,yes,yes,month-to-month,yes,electronic check,50.35,1098.85
0214-jhpfw,no,female,0,yes,no,70,no,no phone service,dsl,no,yes,yes,yes,yes,yes,two year,no,bank transfer (automatic),57.8,4039.3
0215-bqkgs,no,male,0,no,no,30,yes,no,fiber optic,yes,yes,yes,no,no,no,month-to-month,yes,credit card (automatic),84.3,2438.6
0218-qnvas,no,male,0,yes,yes,71,yes,yes,fiber optic,no,yes,no,no,yes,yes,one year,no,bank transfer (automatic),100.55,7113.75
0219-qaerp,no,male,0,yes,no,30,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,credit card (automatic),19.8,576.65
0219-ytzue,yes,male,0,yes,yes,4,yes,yes,fiber optic,no,yes,yes,no,no,no,month-to-month,yes,bank transfer (automatic),84.8,371.9
0220-ebgce,yes,male,0,no,no,2,yes,no,fiber optic,no,no,yes,no,no,yes,month-to-month,yes,electronic check,85.85,167.3
0221-nauxk,no,male,0,no,yes,10,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,bank transfer (automatic),19.95,219.5
0221-wmxnq,no,male,1,no,no,4,yes,no,fiber optic,yes,no,no,no,no,no,month-to-month,no,electronic check,75.35,273.4
0222-cnvpt,no,male,1,no,no,52,no,no phone service,dsl,yes,no,no,no,yes,yes,month-to-month,yes,credit card (automatic),48.8,2555.05
0224-hjapt,yes,male,0,no,no,5,yes,yes,dsl,no,no,no,no,no,no,month-to-month,no,electronic check,47.15,223.15
0224-nijlp,no,male,0,yes,yes,8,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,20.15,165.5
0224-rlwwd,no,female,1,no,no,2,yes,no,dsl,no,no,no,no,no,no,month-to-month,yes,electronic check,44.3,89.3
0225-zorzp,no,male,0,no,no,3,yes,no,fiber optic,no,yes,no,no,no,yes,month-to-month,no,electronic check,84.3,235.05
0228-mauwc,no,male,0,no,no,19,yes,yes,dsl,no,no,yes,yes,no,no,month-to-month,no,electronic check,59.55,1144.6
0229-lfjaf,no,male,0,no,no,72,yes,yes,dsl,yes,yes,yes,yes,no,no,two year,no,bank transfer (automatic),69.65,4908.25
0230-ubypq,no,male,1,yes,no,63,no,no phone service,dsl,yes,no,no,yes,no,no,one year,no,bank transfer (automatic),36.1,2298.9
0230-wequw,no,male,0,yes,no,66,no,no phone service,dsl,yes,yes,yes,yes,yes,no,two year,yes,bank transfer (automatic),56.6,3789.2
0231-lxvap,yes,male,0,no,no,1,yes,no,fiber optic,no,no,no,yes,no,no,month-to-month,yes,electronic check,75.9,75.9
0233-fthav,no,female,0,no,no,60,yes,yes,fiber optic,no,no,yes,no,no,no,one year,yes,bank transfer (automatic),79.2,4765
0234-tevtt,no,female,0,yes,yes,48,no,no phone service,dsl,yes,no,yes,no,no,yes,one year,no,credit card (automatic),45.0,2196.3
0235-kgslc,yes,female,0,no,no,1,yes,no,fiber optic,no,no,yes,no,yes,no,month-to-month,yes,credit card (automatic),85.55,85.55
0236-hfwsv,yes,male,0,no,no,15,yes,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,yes,electronic check,93.35,1444.65
0237-yfutl,no,female,0,yes,no,50,yes,yes,fiber optic,yes,yes,no,yes,yes,yes,month-to-month,yes,bank transfer (automatic),109.65,5405.8
0238-whbiq,no,male,0,yes,yes,72,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two year,no,credit card (automatic),89.7,6339.3
0239-oxexl,no,female,0,no,no,46,yes,yes,fiber optic,yes,yes,no,no,no,no,month-to-month,no,mailed check,84.25,3847.6
0244-lgnfy,no,female,0,yes,yes,72,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two year,no,bank transfer (automatic),92.65,6733
0247-sluji,no,male,0,yes,yes,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,19.7,19.7
0248-ipdfw,no,female,0,no,no,1,yes,yes,dsl,no,no,no,no,no,no,month-to-month,yes,electronic check,50.1,50.1
0248-pghbz,no,female,1,no,no,67,yes,no,fiber optic,yes,yes,no,yes,yes,no,two year,yes,bank transfer (automatic),92.45,6140.85
0253-zteob,no,female,0,yes,yes,48,yes,yes,dsl,no,yes,no,yes,yes,yes,two year,no,electronic check,79.65,3870.3
0254-fnmci,no,female,0,no,no,72,yes,no,fiber optic,yes,yes,yes,yes,yes,yes,two year,yes,electronic check,109.9,7624.2
0254-kcjgt,no,male,0,yes,no,52,yes,yes,dsl,yes,yes,yes,yes,no,yes,one year,yes,credit card (automatic),81.4,4354.45
0254-wwrkd,no,female,0,yes,yes,67,yes,no,dsl,no,yes,no,no,no,no,one year,no,credit card (automatic),50.55,3431.75
0256-lthvj,yes,female,0,yes,yes,28,yes,no,fiber optic,no,no,no,no,no,yes,month-to-month,yes,electronic check,81.05,2227.1
0257-kxzgu,no,female,0,yes,yes,32,yes,yes,dsl,no,yes,yes,no,no,no,month-to-month,no,bank transfer (automatic),62.45,2045.55
0257-zesqc,yes,female,1,yes,no,27,yes,no,fiber optic,yes,no,no,no,no,no,month-to-month,yes,bank transfer (automatic),75.2,1929.35
0258-nokbl,no,male,0,no,no,3,yes,no,fiber optic,no,yes,yes,no,no,yes,month-to-month,no,electronic check,90.4,268.45
0259-gbzsh,yes,male,0,no,no,2,yes,yes,fiber optic,no,no,no,no,yes,no,month-to-month,yes,electronic check,85.65,181.5
0260-zdlgk,yes,female,0,no,yes,9,yes,no,dsl,no,no,yes,yes,yes,yes,month-to-month,yes,mailed check,72.9,651.4
0263-fjtqo,no,male,0,yes,yes,50,yes,yes,dsl,yes,no,no,yes,yes,no,two year,yes,credit card (automatic),70.5,3486.65
0264-cnitk,no,female,0,yes,yes,71,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),20.1,1389.6
0265-edxbd,yes,male,1,yes,no,32,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,74.9,2303.35
0265-psuae,no,female,0,yes,yes,16,yes,no,fiber optic,yes,no,yes,no,yes,yes,month-to-month,no,bank transfer (automatic),100.7,1522.7
0266-clzkz,no,female,0,yes,yes,67,yes,yes,fiber optic,no,no,yes,yes,yes,yes,two year,yes,bank transfer (automatic),105.65,6717.9
0266-gmeao,no,male,0,yes,yes,72,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,yes,credit card (automatic),114.3,8058.55
0268-qkiwo,yes,female,0,no,no,3,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,electronic check,19.75,58.85
0269-xfesx,no,male,0,yes,yes,23,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,24.35,538.5
0270-thenm,no,male,0,yes,yes,72,yes,yes,dsl,yes,yes,yes,yes,no,no,two year,no,bank transfer (automatic),69.85,5102.35
0274-jkujr,no,male,0,yes,yes,7,no,no phone service,dsl,yes,yes,yes,no,yes,yes,month-to-month,no,mailed check,58.85,465.7
0274-vvqoq,,male,1,yes,no,65,yes,yes,fiber optic,no,yes,yes,no,yes,yes,one year,yes,bank transfer (automatic),103.15,6792.45
0277-bksqp,no,male,0,yes,yes,8,yes,no,dsl,no,no,no,no,yes,no,month-to-month,yes,electronic check,54.4,475.1
0277-orxqs,no,male,0,yes,yes,66,no,no phone service,dsl,no,no,no,yes,yes,yes,two year,no,bank transfer (automatic),50.55,3364.55
0278-yxoog,yes,male,0,no,no,5,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,21.05,113.85
0280-xjgex,yes,male,0,no,no,49,yes,yes,fiber optic,no,yes,yes,no,yes,yes,month-to-month,yes,bank transfer (automatic),103.7,5036.3
0281-cntzx,no,male,0,yes,no,63,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,bank transfer (automatic),19.95,1234.8
0282-nvsjs,no,female,1,yes,yes,12,no,no phone service,dsl,no,no,no,yes,no,no,month-to-month,yes,mailed check,29.3,355.9
0285-inhln,no,male,0,yes,yes,27,yes,no,dsl,yes,yes,no,no,no,no,month-to-month,yes,credit card (automatic),54.75,1510.3
0289-ivarm,no,female,0,no,no,35,yes,no,dsl,yes,yes,yes,no,no,no,month-to-month,no,electronic check,60.55,1982.6
0292-wegch,no,female,0,yes,yes,54,yes,yes,dsl,no,yes,yes,yes,yes,yes,month-to-month,yes,electronic check,86.2,4524.05
0295-pphdo,yes,male,0,no,no,1,yes,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,yes,electronic check,95.45,95.45
0295-qvkpb,no,male,0,no,no,5,yes,no,dsl,no,no,yes,yes,yes,no,month-to-month,yes,credit card (automatic),63.95,318.1
0297-rbcsg,no,male,0,no,no,19,yes,no,dsl,no,yes,no,yes,no,yes,one year,yes,bank transfer (automatic),65.35,1231.85
0298-xacet,no,male,0,yes,yes,52,no,no phone service,dsl,no,yes,yes,yes,yes,no,two year,no,mailed check,50.2,2554
